intern_id,attendance_rate,tasks_assigned,submission_rate,feedback_score,mentor_interactions,success
INT0001,86.0,14,59.4,8.4,3,1
INT0002,78.3,6,94.2,8.4,1,1
INT0003,87.8,12,71.1,6.7,2,0
INT0004,98.3,10,77.0,7.1,6,1
INT0005,77.2,9,81.2,5.7,8,1
INT0006,77.2,13,46.1,7.0,7,0
INT0007,99.0,5,65.2,5.9,3,0
INT0008,89.2,9,90.7,9.5,3,1
INT0009,74.4,10,88.0,7.6,6,1
INT0010,86.5,9,79.2,7.8,3,0
INT0011,74.4,10,54.8,7.2,6,0
INT0012,74.4,10,83.8,7.8,7,0
INT0013,82.9,11,85.7,10.0,2,1
INT0014,57.0,8,75.7,7.0,4,0
INT0015,59.3,12,93.3,6.5,8,0
INT0016,73.3,11,64.7,8.3,9,1
INT0017,67.8,13,67.4,3.7,7,0
INT0018,83.8,11,37.7,7.6,4,1
INT0019,69.1,7,88.8,6.9,5,0
INT0020,63.1,7,79.7,6.0,7,0
INT0021,97.6,12,49.8,8.3,5,1
INT0022,77.3,9,48.6,7.6,2,0
INT0023,80.8,8,61.9,4.8,3,0
INT0024,62.9,12,86.9,6.5,10,1
INT0025,73.5,10,70.5,3.2,7,0
INT0026,81.3,6,62.9,7.9,4,0
INT0027,66.2,8,59.9,7.9,6,1
INT0028,84.5,8,59.2,6.3,9,1
INT0029,72.8,10,46.0,8.3,4,0
INT0030,76.5,10,56.9,5.6,9,0
INT0031,72.8,5,58.9,6.1,9,0
INT0032,100.0,12,85.2,8.1,10,1
INT0033,79.8,10,72.5,6.5,8,0
INT0034,67.3,7,62.6,7.4,5,0
INT0035,89.9,13,100.0,6.7,6,1
INT0036,65.3,6,65.0,6.9,4,0
INT0037,82.5,12,92.5,6.9,4,0
INT0038,56.5,14,99.3,6.4,10,1
INT0039,64.1,7,51.5,8.0,4,0
INT0040,82.4,9,76.1,6.6,4,0
INT0041,88.9,10,67.2,7.5,7,1
INT0042,82.1,14,66.0,6.4,3,0
INT0043,78.6,10,83.3,5.2,8,1
INT0044,76.4,8,65.7,8.9,8,0
INT0045,62.3,7,67.6,8.2,7,1
INT0046,71.4,8,72.5,10.0,5,1
INT0047,74.5,5,69.4,5.9,4,0
INT0048,92.7,8,57.4,7.2,0,0
INT0049,84.1,5,86.9,7.3,4,1
INT0050,58.8,5,90.7,9.0,2,0
INT0051,83.9,14,80.2,6.7,4,0
INT0052,75.4,10,69.4,5.7,8,0
INT0053,71.9,9,64.4,9.3,5,0
INT0054,87.3,8,64.4,7.0,8,1
INT0055,92.4,7,100.0,8.8,6,1
INT0056,91.2,5,89.1,8.6,4,1
INT0057,69.9,10,62.4,7.5,9,0
INT0058,76.3,6,77.5,7.2,6,0
INT0059,84.0,12,69.6,6.9,6,0
INT0060,91.7,14,83.8,7.5,4,1
INT0061,74.2,9,83.2,8.8,2,0
INT0062,77.8,11,91.3,6.3,6,1
INT0063,66.7,14,62.2,7.7,9,1
INT0064,65.6,6,76.6,5.8,3,0
INT0065,89.8,12,48.8,6.0,2,0
INT0066,96.3,6,56.1,7.5,4,0
INT0067,79.1,8,88.3,4.6,7,0
INT0068,92.0,5,60.7,10.0,4,1
INT0069,84.3,9,62.4,5.7,4,0
INT0070,72.3,13,74.9,7.4,8,0
INT0071,84.3,5,85.4,9.3,5,1
INT0072,98.5,13,59.1,6.2,8,1
INT0073,79.6,12,22.8,4.0,4,0
INT0074,98.8,10,61.9,6.8,6,1
INT0075,48.6,11,93.1,6.2,6,0
INT0076,89.9,7,80.1,4.1,3,1
INT0077,81.0,5,94.9,7.9,7,1
INT0078,76.4,9,58.0,7.8,8,1
INT0079,81.1,6,50.4,9.2,11,1
INT0080,56.1,9,81.9,5.8,8,1
INT0081,77.4,12,78.6,5.1,3,0
INT0082,84.3,13,79.6,6.9,6,1
INT0083,97.7,6,89.0,7.4,3,1
INT0084,73.8,7,81.3,8.9,6,1
INT0085,70.3,7,81.1,9.6,9,1
INT0086,74.0,5,85.7,9.3,5,0
INT0087,91.0,12,82.5,7.9,2,1
INT0088,83.9,10,87.9,8.7,8,0
INT0089,73.6,12,90.1,6.5,9,1
INT0090,86.2,13,98.0,7.8,5,1
INT0091,81.2,9,65.3,5.7,7,0
INT0092,91.6,7,82.2,7.6,7,1
INT0093,71.6,9,69.4,7.6,2,0
INT0094,76.1,9,62.5,10.0,5,0
INT0095,75.3,9,64.7,7.2,2,0
INT0096,62.4,7,82.4,7.6,9,1
INT0097,83.6,14,81.3,7.9,10,1
INT0098,83.1,8,81.0,6.8,6,1
INT0099,80.1,13,71.6,6.3,6,0
INT0100,77.2,14,75.1,9.4,13,1
INT0101,63.0,13,87.3,6.0,10,1
INT0102,75.0,6,52.7,5.5,5,0
INT0103,75.9,12,75.4,8.5,8,0
INT0104,70.4,12,76.3,9.2,7,0
INT0105,78.1,11,86.3,6.8,7,1
INT0106,84.8,12,54.7,6.8,5,0
INT0107,100.0,7,97.4,7.9,4,1
INT0108,82.1,10,78.2,6.4,6,0
INT0109,83.1,5,79.0,6.3,4,1
INT0110,79.1,11,69.0,8.8,7,1
INT0111,57.0,5,83.1,8.4,4,0
INT0112,79.7,13,75.7,9.5,6,0
INT0113,80.7,5,93.1,5.6,5,1
INT0114,100.0,5,53.4,6.7,5,0
INT0115,77.7,11,77.6,7.9,3,0
INT0116,83.6,6,81.1,6.1,4,0
INT0117,79.6,9,72.2,8.5,10,1
INT0118,66.0,12,68.9,9.3,8,1
INT0119,93.7,12,69.6,6.6,2,0
INT0120,89.0,7,77.6,7.6,7,1
INT0121,89.5,11,47.9,9.7,2,0
INT0122,69.1,7,89.5,10.0,6,1
INT0123,96.8,10,67.8,8.6,6,0
INT0124,63.2,10,76.9,8.4,3,0
INT0125,87.0,7,80.5,6.2,3,0
INT0126,100.0,11,67.1,8.0,11,1
